A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,result
4,60,2,3,10144,2,4,2,2,1,4,1,0,3,2,1,3,1,2,1,0
4,12,4,3,1240,5,5,4,2,1,2,1,0,3,2,2,3,1,2,1,0
4,27,3,1,8613,4,3,2,3,1,2,3,0,3,2,2,3,1,1,1,0
2,12,2,3,766,3,3,4,3,1,3,1,1,3,2,1,2,1,1,1,1
2,15,4,3,2728,5,4,4,3,3,2,1,0,1,2,3,3,1,2,1,0
3,12,2,3,1881,1,3,2,2,1,2,3,1,3,1,1,2,1,2,1,0
3,6,2,0,709,4,2,2,4,1,2,1,0,3,2,1,1,1,1,2,0
2,36,2,3,4795,1,2,4,2,1,1,4,0,3,2,1,4,1,2,1,0
1,27,2,3,3416,1,3,3,3,1,2,3,0,3,2,1,4,1,1,1,0
1,18,2,2,2462,1,3,2,3,1,2,3,0,3,2,1,3,1,1,1,1
4,21,4,2,2288,1,2,4,2,1,4,2,0,3,2,1,3,1,2,1,0
2,48,1,9,3566,2,4,4,3,1,2,3,0,3,2,1,3,1,1,1,0
1,6,4,0,860,1,5,1,2,1,4,4,0,3,2,2,3,1,2,1,0
4,12,4,0,682,2,4,4,2,1,3,3,1,3,2,2,3,1,2,1,0
1,36,4,2,5371,1,3,3,3,3,2,2,0,3,2,2,3,1,1,1,0
4,18,4,3,1582,4,5,4,3,1,4,3,1,3,2,2,3,1,1,1,0
4,6,2,3,1346,2,5,2,3,1,4,4,1,1,3,1,3,2,2,1,0
4,10,2,3,1924,1,3,1,3,1,4,2,0,3,2,1,3,1,2,2,0
3,36,2,3,5848,1,3,4,3,1,1,3,0,3,2,1,3,1,1,1,0
2,24,4,1,7758,4,5,2,2,1,4,4,0,3,1,1,3,1,1,1,0
2,24,3,9,6967,2,4,4,3,1,4,3,0,3,1,1,4,1,2,1,0
1,12,2,2,1282,1,3,2,2,1,4,3,0,3,1,1,3,1,1,1,1
1,9,4,5,1288,2,5,3,3,3,4,1,1,3,2,2,3,2,1,2,0
1,12,1,8,339,1,5,4,4,1,1,3,1,1,2,1,2,1,1,1,0
2,24,2,0,3512,2,4,2,3,1,3,3,0,1,2,2,3,1,2,1,0
4,6,4,3,1898,5,3,1,3,1,2,1,0,3,2,2,2,2,1,1,0
4,24,4,3,2872,2,5,3,3,1,4,1,0,3,2,1,3,2,2,1,0
4,18,4,0,1055,1,2,4,2,1,1,2,0,3,2,2,3,1,1,1,0
4,15,2,4,1262,3,4,4,3,1,3,2,0,3,2,2,3,1,2,1,0
2,10,2,0,7308,1,1,2,3,1,4,4,1,1,3,1,4,1,2,1,0
4,36,2,0,909,3,5,4,3,1,4,2,0,3,2,1,3,1,1,1,0
4,6,2,2,2978,3,3,1,3,1,2,3,0,3,2,1,3,1,2,1,0
1,18,2,2,1131,1,1,4,2,1,2,3,0,3,2,1,3,1,1,1,1
2,11,2,2,1577,4,2,4,2,1,1,1,0,3,2,1,3,1,1,1,0
4,24,2,2,3972,1,4,2,2,1,4,2,0,3,1,1,3,1,2,1,0
2,24,4,9,1935,1,5,4,1,1,4,1,0,3,2,2,3,1,2,1,1
1,15,0,0,950,1,5,4,3,1,3,3,0,3,1,2,3,2,1,1,1
4,12,2,2,763,1,3,4,2,1,1,1,0,3,2,1,3,1,2,1,0
2,24,3,2,2064,1,1,3,2,1,2,2,0,3,2,1,4,1,2,1,1
2,8,2,3,1414,1,3,4,3,3,2,1,0,3,2,1,3,1,1,2,0
1,21,3,6,3414,1,2,2,3,1,1,2,0,3,2,2,3,1,1,1,1
4,30,1,1,7485,5,1,4,2,1,1,1,1,1,2,1,4,1,2,1,1
1,12,2,2,2577,1,3,2,1,1,1,3,1,3,2,1,3,1,1,1,0
1,6,4,3,338,3,5,4,3,1,4,3,1,3,2,2,3,1,1,1,0
4,12,2,3,1963,1,4,4,3,1,2,3,0,3,1,2,4,2,2,1,0
1,21,4,0,571,1,5,4,3,1,4,1,1,3,2,2,3,1,1,1,0
4,36,3,9,9572,1,2,1,1,1,1,3,0,3,2,2,3,1,1,1,1
2,36,3,9,4455,1,3,2,1,1,2,1,0,2,2,2,4,1,2,1,1
1,21,1,0,1647,5,3,4,3,1,2,2,0,3,2,2,2,2,1,1,1
4,24,4,2,3777,4,3,4,3,1,4,1,1,3,2,1,3,1,2,1,0
2,18,4,0,884,1,5,4,3,1,4,3,0,1,2,1,3,2,2,1,1
4,15,4,3,1360,1,3,4,3,1,2,2,0,3,2,2,3,1,1,1,0
2,9,1,1,5129,1,5,2,2,1,4,4,1,1,3,1,4,2,2,1,1
2,16,4,0,1175,1,1,2,3,1,3,3,1,3,3,3,1,1,2,1,0
1,12,2,3,674,2,4,4,4,1,1,2,0,3,2,1,3,1,1,1,1
2,18,0,2,3244,1,3,1,2,1,4,3,0,1,2,2,3,1,2,1,0
4,24,2,9,4591,4,3,2,3,1,3,2,1,3,2,3,4,1,2,1,1
2,48,0,9,3844,2,4,4,3,1,4,4,0,3,3,1,2,2,1,1,1
2,27,2,9,3915,1,3,4,3,1,2,3,0,3,2,1,3,2,2,1,1
4,6,2,3,2108,1,4,2,4,1,2,1,0,3,1,1,3,1,1,1,0
2,45,2,3,3031,2,3,4,3,3,4,2,0,3,1,1,3,1,1,1,1
2,9,4,6,1501,1,5,2,2,1,3,3,0,3,2,2,4,1,2,1,1
4,6,4,3,1382,1,3,1,2,1,1,3,0,3,2,2,3,1,2,1,0
2,12,2,2,951,2,2,4,2,1,4,3,0,1,1,4,3,1,1,1,1
2,24,2,1,2760,5,5,4,3,1,4,4,0,1,3,1,3,1,2,1,0
2,18,3,2,4297,1,5,4,1,1,3,4,0,3,2,1,4,1,2,1,1
4,9,4,6,936,3,5,4,3,1,2,3,1,3,2,2,3,1,2,1,0
1,12,2,0,1168,1,3,4,4,1,3,1,0,3,2,1,2,1,1,1,0
4,27,3,9,5117,1,4,3,3,1,4,3,0,3,2,2,3,1,1,1,0
1,12,2,8,902,1,4,4,4,1,4,2,0,3,1,1,3,1,1,1,1
4,12,4,0,1495,1,5,4,3,1,1,1,0,3,2,2,2,2,1,1,0
1,30,4,1,10623,1,5,3,3,1,4,4,0,3,3,3,4,2,2,1,0
4,12,4,2,1935,1,5,4,3,1,4,1,1,3,2,3,3,1,2,1,0
2,12,4,4,1424,1,4,4,3,1,3,2,0,3,2,1,3,1,1,1,0
1,24,2,9,6568,1,3,2,4,1,2,3,0,2,2,1,2,1,1,1,0
4,12,2,1,1413,4,4,3,3,1,2,2,1,3,2,1,3,1,1,2,0
4,9,4,3,3074,5,3,1,3,1,2,1,0,3,2,2,3,2,1,1,0
4,36,2,3,3835,5,5,2,2,1,4,1,1,3,2,1,2,1,2,1,0
1,27,0,9,5293,1,1,2,3,1,4,2,1,2,2,2,3,1,2,1,1
3,30,3,9,1908,1,5,4,3,1,4,1,1,3,2,1,4,1,2,1,1
4,36,4,3,3342,5,5,4,3,1,2,3,1,3,2,1,3,1,2,1,0
2,6,4,8,932,5,4,1,2,1,3,2,0,3,2,2,2,1,1,1,0
1,18,0,9,3104,1,4,3,3,1,1,2,0,1,2,1,3,1,2,1,0
3,36,2,3,3913,1,3,2,3,1,2,1,0,3,2,1,3,1,2,1,0
1,24,2,2,3021,1,3,2,1,1,2,1,0,3,1,1,2,1,1,1,0
4,10,2,0,1364,1,3,2,2,1,4,3,1,3,2,1,3,1,2,1,0
2,12,2,3,625,1,2,4,4,3,1,1,0,1,2,1,2,1,1,1,0
1,12,2,6,1200,5,3,4,2,1,4,2,0,1,1,1,3,1,2,1,0
4,12,2,3,707,1,3,4,3,1,2,1,0,1,2,2,3,1,1,1,0
4,24,3,9,2978,5,3,4,3,1,4,1,0,3,2,2,3,2,2,1,0
4,15,2,1,4657,1,3,3,3,1,2,3,0,3,2,1,3,1,2,1,0
4,36,0,5,2613,1,3,4,3,1,2,3,0,3,2,2,3,1,1,1,0
2,48,2,3,10961,4,4,1,3,2,2,4,0,1,2,2,3,1,2,1,1
1,12,2,2,7865,1,5,4,3,1,4,4,1,3,3,1,4,1,2,1,1
4,9,2,3,1478,1,4,4,3,1,2,3,0,3,2,1,3,1,1,1,1
1,24,2,2,3149,1,2,4,3,1,1,4,0,1,3,1,3,1,1,1,0
3,36,2,3,4210,1,3,4,3,1,2,3,0,3,2,1,3,1,1,1,1
4,9,2,0,2507,3,5,2,3,1,4,4,1,3,3,1,2,1,1,1,0
4,12,2,3,2141,2,4,3,3,1,1,4,0,3,2,1,3,1,1,1,0
2,18,2,3,866,1,3,4,4,3,2,1,0,3,2,1,2,1,1,1,0
4,4,4,3,1544,1,4,2,3,1,1,1,1,3,2,3,2,2,1,1,0
1,24,2,3,1823,1,1,4,3,1,2,3,0,2,2,1,4,2,1,1,1
2,6,2,0,14555,5,1,1,3,1,2,2,0,3,2,1,1,1,2,1,1
2,21,2,9,2767,2,5,4,1,1,2,3,1,1,1,2,2,1,1,1,1
4,12,4,3,1291,1,3,4,2,1,2,2,0,3,2,2,3,1,1,1,0
1,30,2,3,2522,1,5,1,3,3,3,2,0,3,2,1,3,2,1,1,0
1,24,2,0,915,5,5,4,2,1,2,3,0,1,2,1,3,1,1,1,1
4,6,2,3,1595,1,4,3,3,1,2,2,1,3,2,1,3,2,1,1,0
1,48,0,1,4605,1,5,3,3,1,4,4,0,3,3,2,3,2,1,1,1
4,12,4,9,1185,1,3,3,2,1,2,1,0,3,2,2,3,1,1,1,0
4,12,1,8,3447,3,3,4,2,1,3,1,0,3,2,1,2,2,1,1,0
4,24,2,9,1258,1,4,4,3,1,1,1,0,3,2,1,3,1,2,1,0
4,12,4,3,717,1,5,4,3,1,4,1,1,3,2,3,3,1,1,1,0
4,6,0,0,1204,2,3,4,3,1,1,4,0,1,1,1,3,1,1,2,0
3,24,2,2,1925,1,3,2,3,1,2,1,0,3,2,1,3,1,1,1,0
4,18,2,3,433,1,1,3,2,2,4,1,0,3,1,1,3,1,1,1,1
1,6,4,0,666,4,4,3,2,1,4,1,0,3,2,2,2,1,2,1,0
3,12,2,2,2251,1,3,1,2,1,2,3,1,3,2,1,2,1,1,1,0
2,30,2,0,2150,1,3,4,2,3,2,4,0,1,2,1,3,1,1,1,1
4,24,3,2,4151,2,3,2,3,1,3,2,0,3,2,2,3,1,1,1,0
2,9,2,2,2030,5,4,2,3,1,1,3,0,3,2,1,3,1,2,1,0
2,60,3,3,7418,5,3,1,3,1,1,1,0,3,2,1,2,1,1,1,0
4,24,4,3,2684,1,3,4,3,1,2,1,0,3,2,2,2,1,1,1,0
1,12,1,3,2149,1,3,4,1,1,1,4,0,3,3,1,3,1,1,1,1
4,15,2,1,3812,2,2,1,2,1,4,3,0,3,2,1,3,1,2,1,0
4,11,4,3,1154,2,1,4,2,1,4,1,1,3,2,3,2,1,1,1,0
1,12,2,2,1657,1,3,2,3,1,2,1,0,3,2,1,3,1,1,1,0
1,24,2,3,1603,1,5,4,2,1,4,3,1,3,2,1,3,1,1,1,0
1,18,4,0,5302,1,5,2,3,1,4,4,0,3,3,3,4,1,2,1,0
4,12,4,6,2748,1,5,2,2,1,4,4,1,1,3,3,2,1,1,1,0
4,10,4,0,1231,1,5,3,3,1,4,1,0,3,2,2,2,2,1,2,0
2,15,2,3,802,1,5,4,3,1,3,3,0,3,2,1,3,2,1,1,1
4,36,4,9,6304,5,5,4,3,1,4,1,0,3,2,2,3,1,1,1,0
4,24,2,3,1533,1,2,4,2,1,3,3,0,2,2,1,3,1,2,1,0
1,14,2,0,8978,1,5,1,1,1,4,2,1,3,2,1,4,1,2,2,1
4,24,2,3,999,5,5,4,3,1,2,3,0,3,2,2,3,1,1,1,0
4,18,2,0,2662,5,4,4,3,1,3,2,0,3,2,1,3,1,1,2,0
4,12,4,2,1402,3,4,3,2,1,4,3,0,3,1,1,3,1,2,1,0
2,48,1,0,12169,5,1,4,3,2,4,4,0,3,3,1,4,1,2,1,0
2,48,2,3,3060,1,4,4,3,1,4,1,0,3,2,2,3,1,1,1,1
1,30,2,5,11998,1,2,1,1,1,1,4,0,3,2,1,2,1,2,1,1
4,9,2,3,2697,1,3,1,3,1,2,1,0,3,2,1,3,2,1,1,0
4,18,4,3,2404,1,3,2,2,1,2,3,0,3,2,2,3,1,1,1,0
1,12,2,2,1262,5,5,2,1,1,4,2,1,3,2,1,2,1,2,1,0
4,6,2,2,4611,1,2,1,2,1,4,2,0,3,2,1,3,1,1,1,1
4,24,2,3,1901,2,3,4,3,1,4,3,0,3,1,1,4,1,2,1,0
4,15,4,1,3368,4,5,3,3,1,4,4,0,3,1,2,3,1,2,1,0
4,12,2,2,1574,1,3,4,3,1,2,1,1,3,2,1,3,1,1,1,0
3,18,1,3,1445,5,4,4,3,1,4,3,1,1,2,1,2,1,1,1,0
4,15,4,2,1520,5,5,4,3,1,4,2,1,3,2,1,3,1,1,1,0
2,24,4,0,3878,2,2,4,1,1,2,3,0,3,2,1,3,1,2,1,0
1,47,2,0,10722,1,2,1,2,1,1,1,0,3,2,1,2,1,2,1,0
1,48,2,1,4788,1,4,4,3,1,3,2,0,3,2,1,3,2,1,1,0
2,48,3,10,7582,2,1,2,3,1,4,4,0,3,3,1,4,1,2,1,0
2,12,2,3,1092,1,3,4,2,3,4,1,1,3,2,2,3,1,2,1,0
1,24,3,3,1024,1,2,4,4,1,4,1,1,2,2,1,3,1,1,1,1
4,12,2,9,1076,1,3,2,4,1,2,1,0,3,2,1,3,1,2,2,0
2,36,2,1,9398,1,2,1,4,1,4,3,0,3,1,1,4,1,2,1,1
1,24,4,1,6419,1,5,2,2,1,4,4,1,3,3,2,4,2,2,1,0
3,42,4,1,4796,1,5,4,3,1,4,4,1,3,3,1,3,1,1,1,0
4,48,4,9,7629,5,5,4,1,1,2,3,1,1,2,2,4,2,1,1,0
2,48,2,2,9960,1,2,1,2,1,2,3,0,3,2,1,3,1,2,1,1
4,12,2,1,4675,5,2,1,2,1,4,3,0,3,1,1,3,1,1,1,0
4,10,2,0,1287,5,5,4,3,2,2,2,1,3,2,1,2,1,1,2,0
4,18,2,2,2515,1,3,3,3,1,4,1,1,3,2,1,3,1,2,1,0
2,21,4,2,2745,4,4,3,3,1,2,3,0,3,2,2,3,1,2,1,0
4,6,2,0,672,1,1,1,2,1,4,1,1,3,2,1,1,1,2,1,0
2,36,0,3,3804,1,3,4,2,1,1,3,1,3,2,1,3,1,2,1,1
3,24,4,0,1344,5,4,4,3,1,2,1,0,1,2,2,2,2,1,1,1
1,10,4,0,1038,1,4,4,3,2,3,2,1,3,2,2,3,1,2,1,0
4,48,4,0,10127,3,3,2,3,1,2,4,1,1,3,1,3,1,1,1,1
4,6,2,2,1543,4,3,4,1,1,2,1,0,3,2,1,3,1,1,1,0
4,30,2,1,4811,5,4,2,2,1,4,2,0,2,1,1,2,1,1,1,0
1,12,2,3,727,2,2,4,4,1,3,4,0,3,2,1,2,1,2,1,1
2,8,2,2,1237,1,3,3,2,1,4,1,0,3,2,1,3,1,1,1,1
2,9,2,0,276,1,3,4,4,1,4,1,0,3,1,1,2,1,1,1,0
2,48,2,10,5381,5,1,3,3,1,4,4,0,1,3,1,1,1,2,1,0
4,24,2,2,5511,2,3,4,3,1,1,3,0,2,2,1,3,1,1,1,0
3,24,2,2,3749,1,2,2,2,1,4,3,0,3,2,1,3,1,1,1,0
2,12,2,0,685,1,4,2,4,1,3,3,0,1,2,1,2,1,1,1,1
3,4,2,0,1494,5,2,1,3,1,2,1,0,3,2,1,2,2,1,2,0
1,36,1,2,2746,1,5,4,3,1,4,3,0,1,2,1,3,1,1,1,1
1,12,2,2,708,1,3,2,3,3,3,2,0,3,2,1,2,2,1,1,0
2,24,2,2,4351,5,3,1,2,1,4,2,1,3,2,1,2,1,2,1,0
4,12,4,6,701,1,3,4,3,1,2,3,0,3,2,2,3,1,1,1,0
1,15,3,2,3643,1,5,1,2,1,4,2,0,3,2,2,2,1,1,1,0
2,30,4,0,4249,1,1,4,4,1,2,3,0,3,2,2,4,1,1,1,1
1,24,2,3,1938,1,2,4,1,1,3,2,0,3,2,1,3,1,1,1,1
1,24,2,1,2910,1,4,2,3,1,1,4,0,3,3,1,4,1,2,1,0
